DAUID,walk_rate,active_transport_rate,transit_rate,all_modes_rate
10010165,0.0057471702891307656,0.0057471702891307656,0.02608193530545644,0.03182910559458721
10010166,0.00623063802392863,0.00623063802392863,0.0295685121126819,0.03579915013661053
10010167,0.005979166977274488,0.005979166977274488,0.02559429718480208,0.03157346416207657
10010168,0.009817274146946817,0.009817274146946817,0.02678078137964698,0.03659805552659379
10010169,0.005692965566300595,0.005692965566300595,0.02370461157842698,0.02939757714472757
10010170,0.005937324058829961,0.005937324058829961,0.01506410842028975,0.02100143247911971
10010171,0.007394177745303476,0.007394177745303476,0.004158932535910586,0.01155311028121406
10010172,0.008566019766482656,0.008566019766482656,0.02107737008466616,0.02964338985114881
10010173,0.01670654432169598,0.01670654432169598,0.04142902549057943,0.05813556981227541
10010174,0.01197156408406371,0.01197156408406371,0.03077734228547403,0.04274890636953774
10010175,0.01687210765868941,0.01687210765868941,0.04362442288702013,0.06049653054570955
10010176,0.02261227800204237,0.02261227800204237,0.05046586766570572,0.07307814566774809
10010180,0.02013008052426797,0.02013008052426797,0.02113418165789147,0.04126426218215944
10010181,0.01828692226677087,0.01828692226677087,0.03970866197345975,0.05799558424023062
10010182,0.01754531112134549,0.01754531112134549,0.04139253348570091,0.0589378446070464
10010187,0.01761857952297642,0.01761857952297642,0.003129720603788755,0.02074830012676518
10010191,0.008462038951281376,0.008462038951281376,0,0.008462038951281376
10010192,0.01821836232532765,0.01821836232532765,0.008822254967744005,0.02704061729307165
10010193,0.05887922706672411,0.05887922706672411,0.03943360676229304,0.09831283382901715
10010194,0.03259866744340284,0.03259866744340284,0.01008212365210014,0.04268079109550298
10010195,0.01559333274311446,0.01559333274311446,0,0.01559333274311446
10010196,0.02090320157091913,0.02090320157091913,0.001051255208700849,0.02195445677961998
10010198,0.01998222301912787,0.01998222301912787,0.003684289606876043,0.02366651262600391
10010199,0.0163074811032615,0.0163074811032615,0.01030869916811875,0.02661618027138024
10010200,0.01776260078787879,0.01776260078787879,0.01421992092769152,0.0319825217155703
10010201,0.01966117821693212,0.01966117821693212,0.02309099839656786,0.04275217661349998
10010202,0.02580766491991358,0.02580766491991358,0.04688427796778979,0.07269194288770338
10010203,0.02404802253352237,0.02404802253352237,0.03770158949311467,0.06174961202663705
10010204,0.02461395758465193,0.02461395758465193,0.05419183713455995,0.07880579471921188
10010206,0.02736535594486194,0.02736535594486194,0.05313470653833543,0.08050006248319737
10010207,0.0242874523546507,0.0242874523546507,0.04315794153482368,0.06744539388947438
10010208,0.01648836031324231,0.01648836031324231,0.0381460678568027,0.05463442817004502
10010209,0.07914735947140981,0.07914735947140981,0.03212040846387671,0.1112677679352865
10010210,0.01885649208951811,0.01885649208951811,0.02558314560057063,0.04443963769008875
