DAUID,pop_density_1km,dwel_density_1km,pop_in_buffer,dwel_in_buffer
10010165,1761.315208,750.9538184,5533.334919,2359.190999
10010166,1865.345295,799.963773,5860.155076,2513.160313
10010167,2129.702427,902.1699155,6690.657498,2834.250379
10010168,2710.395852,1184.334157,8514.959698,3720.695488
10010169,2482.727719,1062.374817,7799.719163,3337.548919
10010170,2244.521784,950.7357815,7051.373149,2986.824547
10010171,1706.544435,713.4607254,5361.267461,2241.402974
10010172,2435.054563,1046.776551,7649.949527,3288.545524
10010173,2256.433827,1025.094708,7088.795933,3220.430004
10010174,2390.719694,1051.671582,7510.667428,3303.923716
10010175,2629.985962,1189.681997,8262.344576,3737.496221
10010176,2537.521108,1194.528651,7971.85767,3752.722435
10010180,1023.225854,464.044906,3214.558827,1457.840068
10010181,1480.111452,688.9356019,4649.907265,2164.355026
10010182,1311.046762,609.3874849,4118.774876,1914.447246
10010187,875.2625311,405.4463767,2749.718338,1273.747358
10010191,320.7081538,122.62896,1007.53438,385.2502398
10010192,577.8665661,227.3340062,1815.421359,714.1908438
10010193,1051.512528,471.3833744,3303.424034,1480.894546
10010194,917.4313025,399.7592881,2882.19544,1255.880843
10010195,1485.463455,707.987017,4666.721077,2224.206811
10010196,1871.933033,897.1165634,5880.851066,2818.374805
10010198,2128.495595,1024.862102,6686.866124,3219.699252
10010199,2058.614988,987.8999044,6467.329722,3103.579082
10010200,2451.783608,1183.828253,7702.505372,3719.106142
10010201,2348.930329,1128.752154,7379.382265,3546.079473
10010202,2525.246901,1203.976345,7933.297112,3782.403241
10010203,2582.940775,1227.808264,8114.547763,3857.273423
10010204,2462.972363,1176.728897,7737.655883,3696.802859
10010206,2488.6824,1183.511805,7818.426346,3718.111993
10010207,1932.535326,887.6353343,6071.238784,2788.588645
10010208,1207.522642,565.8071624,3793.54426,1777.535625
10010209,1916.212164,956.1403651,6019.958056,3003.803547
10010210,2270.902244,1102.368521,7134.249807,3463.192848
10010211,2523.651524,1202.764697,7928.285089,3778.596737
10010212,2371.691593,1202.433321,7450.888885,3777.555686
10010213,2128.266258,1056.09135,6686.14564,3317.808827
10010214,2327.645374,1206.193906,7312.513608,3789.369914
10010215,2204.812615,1120.498074,6926.623113,3520.148516
10010216,2510.394855,1288.791575,7886.638035,4048.858145
10010217,2683.816188,1401.813511,8431.457219,4403.927027
10010218,2721.39779,1432.502663,8549.523304,4500.339843
10010219,2559.940321,1333.979178,8042.289707,4190.819185
10010220,2324.793474,1213.151538,7303.554098,3811.227959
10010221,2887.348361,1547.629711,9070.872401,4862.022131
10010222,2942.958205,1567.037501,9245.575876,4922.993502
10010223,3653.308383,1944.240593,11477.20678,6108.011964
10010224,3450.419538,1836.637561,10839.81267,5769.967068
