DAUID,pop_density_1km,dwel_density_1km,pop_in_buffer,dwel_in_buffer
10010165,1644.119952,772.5530851,5165.155162,2427.047097
10010166,1726.900384,813.8405504,5425.217561,2556.755494
10010167,1965.043161,920.059583,6173.365158,2890.452427
10010168,2472.263388,1187.762531,7766.844496,3731.466042
10010169,2343.504258,1113.462603,7362.33576,3498.045934
10010170,2118.70947,999.8526731,6656.122106,3141.129813
10010171,1597.001487,743.2739329,5017.128139,2335.063927
10010172,2329.992441,1113.952993,7319.887136,3499.58654
10010173,2126.613295,1047.355262,6680.952704,3290.363598
10010174,2227.933983,1078.453293,6999.261034,3388.060943
10010175,2487.372833,1228.379666,7814.312219,3859.068534
10010176,2444.188433,1239.263693,7678.644424,3893.261715
10010180,1104.014413,524.2247078,3468.363568,1646.900491
10010181,1422.004371,698.4252861,4467.358484,2194.167748
10010182,1248.26993,607.0464471,3921.555642,1907.092659
10010187,851.8793742,414.2586165,2676.257984,1301.431826
10010191,346.2257231,137.5680688,1087.700188,432.1828342
10010192,500.5958944,213.0745761,1572.668384,669.3935231
10010193,910.8323503,442.6654405,2861.464221,1390.674496
10010194,732.2292589,340.6655263,2300.36606,1070.232315
10010195,1407.270713,701.9161329,4421.071333,2205.134567
10010196,1762.933453,894.4711341,5538.418784,2810.063944
10010198,2026.684919,1027.822211,6367.018454,3228.998707
10010199,1996.881038,994.5683605,6273.3868,3124.528655
10010200,2353.100893,1189.322821,7392.484479,3736.367837
10010201,2242.737028,1127.88183,7045.766171,3543.345272
10010202,2417.168217,1215.695458,7593.757912,3819.219921
10010203,2449.026444,1230.716339,7693.843486,3866.409408
10010204,2372.649468,1198.685776,7453.898138,3765.782427
10010206,2425.525316,1230.719276,7620.012513,3866.418636
10010207,1942.902038,964.7472808,6103.806769,3030.84297
10010208,1218.005672,615.6635404,3826.47767,1934.164056
10010209,1912.014222,1000.646504,6006.769834,3143.623706
10010210,2231.005941,1150.977569,7008.911875,3615.902674
10010211,2397.415589,1207.616404,7531.703203,3793.838822
10010212,2266.421044,1217.432163,7120.171701,3824.67594
10010213,1991.016492,1056.073655,6254.962784,3317.753236
10010214,2210.798811,1221.304263,6945.429302,3836.840502
10010215,2070.00994,1125.83997,6503.12802,3536.930577
10010216,2293.40021,1274.889187,7204.929252,4005.182506
10010217,2542.739331,1422.10603,7988.251201,4467.677856
10010218,2569.725426,1449.876792,8073.030521,4554.922277
10010219,2448.325134,1356.63324,7691.640253,4261.98902
10010220,2234.106099,1225.815679,7018.651307,3851.013533
10010221,2771.625353,1564.359821,8707.317847,4914.581322
10010222,2826.516382,1577.144855,8879.763101,4954.746691
10010223,3513.229688,1964.615677,11037.13658,6172.022178
10010224,3262.925463,1859.189248,10250.78267,5840.815284
10010225,3572.592319,2029.459526,11223.62978,6375.735137
10010226,3413.84444,1968.598342,10724.90861,6184.534089
10010227,3313.597758,1891.673039,10409.97437,5942.866122
